ID,Class
1175,Power
1176,Davisson
1177,Kolln
1178,Walters
1179,Riley
1180,Ashbacher
1181,Taylor
1182,Mitchell
1183,McKee
1184,Mitchell
1185,McKee
1186,Lovitt
1187,Harp
1188,Auken
1189,Chandler
1190,Agresti
1191,Chachra
1192,Dent
1193,Morrison
1194,Vernon
1195,Peterson
1196,Hayes
1197,Merritt
1198,Davisson
1199,Nigam
1200,Shea
1201,Grove
1202,Mitchell
1203,Harp
1204,Messick
1205,McKee
1206,Riley
1207,Koenig
1208,Brody
1209,Merritt
1210,Comdet
1211,Wilson
1212,Cholette
1213,Corn
1214,Vernon
1215,Brown
1216,Grove
1217,Mitchell
1218,Lawyeraau
1219,Peterson
1220,Riley
1221,Agresti
1222,Riley
1223,Agresti
1224,Ashbacher
1225,Chell
1226,Power
1227,Power
1228,Brody
1229,McKee
1230,Robert
1231,Power
1232,Vernon
1233,Brown
1234,Riley
1235,Mahlers2nd
1236,Sherwin
1237,Lawyeraau
1238,Power
1239,Engineer
1240,McKee
1241,Riley
1242,Robert
1243,Mahlers2nd
1244,Comdet
1245,Harp
1246,Chachra
1247,Koenig
1248,Mark
1249,Taylor
1250,Hayes
1251,Wilson
1252,Riley
1253,Johnson
1254,Janson
1255,Brody
1256,Sherwin
1257,McKee
1258,Mahlers2nd
1259,McKee
1260,Corn
1261,Lovitt
1262,Walters
1263,Riley
1264,Dent
1265,McKee
1266,Power
1267,Wilson
1268,Lovitt
1269,Cholette
1270,Vernon
1271,Brown
1272,McKee
1273,Janson
1274,Riley
1275,Cholette
1276,Vernon
1277,Peterson
1278,Blankenship
1279,Cutey
1280,Neal
1281,Messick
1282,Ashbacher
1283,Brown
1284,Shea
1285,Grove
1286,Auken
1287,Hayes
1288,Shea
1289,Corn
1290,Chachra
1291,Vernon
1292,Kolln
1293,Auken
1294,Brown
1295,Chandler
1296,Taylor
1297,Cholette
1298,McKee
1299,McKee
1300,Shea
1301,Merritt
1302,Shea
1303,Comdet
1304,Janson
1305,Chachra
1306,Cholette
1307,Chell
1308,Kolln
1309,Riley
1310,Ashbacher
1311,Peterson
1312,Chell
1313,Mahlers2nd
1314,Mark
1315,Lawyeraau
1316,Merritt
1317,CFH
1318,Brody
1319,Harp
1320,Cutey
1321,Ashbacher
1322,Lawyeraau
1323,Messick
1324,Cholette
1325,Bukowsky
1326,Lawyeraau
1327,Cutey
1328,Dent
1329,Chandler
1330,Auken
1331,Lovitt
1332,Bukowsky
1333,Neal
1334,Shea
1335,Janson
1336,Corn
1337,Kolln
1338,Comdet
1339,Ashbacher
1340,Chachra
1341,Shea
1342,Messick
1343,Auken
1344,Shea
1345,Morrison
1346,Shea
1347,Mahlers2nd
1348,Peterson
1349,Chell
1350,Lovitt
1351,Agresti
1352,McKee
1353,Taylor
1354,Bukowsky
1355,Chachra
1356,Chachra
1357,Cutey
1358,Lee
1359,Cutey
1360,Blankenship
1361,Agresti
1362,Harp
1363,Corn
1364,Merritt
1365,Ashbacher
1366,Davisson
1367,Mitchell
1368,Brody
1369,Vernon
1370,Mahlers2nd
1371,Brody
1372,Merritt
1373,Engineer
1374,Mark
1375,Harp
1376,Cutey
1377,Power
1378,Koenig
1379,Cutey
1380,Kolln
1381,Messick
1382,McKee
1383,CFH
1384,Shea
1385,Grove
1386,Cholette
1387,Agresti
1388,Vision
1389,Agresti
1390,Kolln
1391,Kolln
1392,Engineer
1393,Koenig
1394,Taylor
1395,Chachra
1396,Corn
1397,Merritt
1398,Shea
1399,Morrison
1400,Bukowsky
1401,Janson
1402,Cholette
1403,Dent
1404,Mark
1405,Shea
1406,Engineer
1407,Sherwin
1408,Dent
1409,Vision
1410,Goonan
1411,Ashbacher
1412,McKee
1413,Dent
1414,Shea
1415,Kolln
1416,Riley
1417,Harp
1418,Engineer
1419,Ashbacher
1420,Hayes
1421,Vernon
1422,Bukowsky
1423,Messick
1424,Vernon
1425,Robert
1426,Cutey
1427,Wilson
1428,Lovitt
1429,Robert
1430,Robert
1431,Blankenship
1432,Chell
1433,Kolln
1434,Power
1435,Mahlers2nd
1436,Sherwin
1437,Sherwin
1438,Davisson
1439,Davisson
1440,CFH
1441,Shea
1442,Comdet
1443,Davisson
1444,Lee
1445,Bukowsky
1446,Bukowsky
1447,Riley
1448,Brody
1449,Engineer
1450,Kolln
1451,Lovitt
1452,Walters
1453,Goonan
1454,Corn
1455,Kolln
1456,Sherwin
1457,Dent
1458,Nigam
1459,Grove
1460,Engineer
1461,Mark
1462,Chell
1463,Walters
1464,Cutey
1465,Riley
1466,Mahlers2nd
1467,Davisson
1468,Cutey
1469,Kolln
1470,Lawyeraau
1471,Morrison
1472,Goonan
1473,McKee
1474,Merritt
1475,Merritt
1476,Mahlers2nd
1477,Nigam
1478,Riley
1479,Chell
1480,Mark
1481,Engineer
1482,Dent
1483,Lawyeraau
1484,Grove
1485,Brody
1486,Lee
1487,Chell
1488,Johnson
1489,Comdet
1490,Harp
1491,Goonan
1492,Lovitt
1493,Davisson
1494,Goonan
1495,Corn
1496,Mark
1497,Lawyeraau
1498,Grove
1499,Peterson
